id,name,first_release_date,genres,rating,rating_count,aggregated_rating,aggregated_rating_count,release_year,release_age_days,initial_platform_count_30d,initial_platform_group,lifetime_platform_count,expanded_after_30d,rating_count_log
18980,"Warhammer 40,000: Dawn of War III",2017-04-27,Real Time Strategy (RTS)|Simulator|Strategy,64.73539664812476,35,76.72727272727273,11,2017,3392,3,multi,3,False,3.58351893845611
19011,Raiders of the Broken Planet,2017-09-22,Adventure|Indie|Shooter|Strategy,50.0,1,70.0,1,2017,3244,3,multi,3,False,0.6931471805599453
19168,Narcosis,2017-03-28,Adventure|Indie,69.8713032007977,15,85.0,1,2017,3422,2,multi,4,True,2.772588722239781
19220,Snake Pass,2017-03-28,Adventure|Arcade|Indie|Platform|Puzzle|Simulator,73.41431023229192,58,72.16666666666667,12,2017,3422,4,multi,4,False,4.07753744390572
19297,Ken Follett's The Pillars of the Earth,2017-08-15,Adventure|Indie|Point-and-click|Puzzle|Visual Novel,81.33728386865458,47,78.0,10,2017,3282,5,multi,7,True,3.871201010907891
19301,The Long Journey Home,2017-05-30,Adventure|Indie|Role-playing (RPG)|Simulator|Strategy,58.21354574021789,13,70.0,5,2017,3359,1,single,5,True,2.6390573296152584
19333,Absolver,2017-08-29,Adventure|Fighting|Indie|Role-playing (RPG),61.92779047374047,49,74.73333333333333,15,2017,3268,2,multi,5,True,3.912023005428146
19394,Blackwood Crossing,2017-04-04,Adventure|Indie,88.77062515192722,26,78.0,6,2017,3415,3,multi,3,False,3.295836866004329
19407,Rock of Ages 2: Bigger & Boulder,2017-08-28,Indie|Racing|Simulator|Strategy,56.11734832265921,27,74.75,4,2017,3269,3,multi,4,True,3.332204510175204
19440,Agents of Mayhem,2017-08-15,Adventure|Shooter,65.88362194521933,38,72.78947368421052,19,2017,3282,3,multi,3,False,3.6635616461296463
19448,Echo,2017-09-19,Adventure|Indie|Role-playing (RPG)|Shooter,67.87176444833223,28,76.66666666666667,6,2017,3247,2,multi,2,False,3.367295829986474
19450,Serial Cleaner,2017-07-11,Adventure|Indie|Puzzle|Role-playing (RPG)|Simulator,69.21062757387779,34,73.33333333333333,6,2017,3317,5,multi,6,True,3.5553480614894135
19470,Injustice 2,2017-05-16,Fighting,80.93118102717126,247,86.38888888888889,18,2017,3373,2,multi,3,True,5.5134287461649825
19519,Star Trek: Bridge Crew,2017-05-30,Adventure|Role-playing (RPG)|Simulator,80.0,3,71.83333333333333,6,2017,3359,6,multi,8,True,1.3862943611198906
19531,Prey,2017-05-04,Adventure|Puzzle|Role-playing (RPG)|Shooter,80.5608339839739,690,75.8125,16,2017,3385,3,multi,3,False,6.53813982376767
19544,Killing Floor: Incursion,2017-11-14,Hack and slash/Beat 'em up|Shooter,50.0,3,70.0,5,2017,3191,4,multi,6,True,1.3862943611198906
19545,Observer,2017-08-15,Adventure|Indie,75.58184245932875,162,74.0,12,2017,3282,3,multi,6,True,5.093750200806762
19549,Day of Infamy,2017-03-23,Indie|Shooter|Strategy|Tactical,70.97236911134668,14,79.66666666666667,3,2017,3427,3,multi,3,False,2.70805020110221
19567,Twin Saga,2017-04-12,Role-playing (RPG),58.89728287359884,5,,0,2017,3407,1,single,1,False,1.791759469228055
19570,Roots of Insanity,2017-04-05,Adventure|Indie,50.0,3,30.0,1,2017,3414,1,single,1,False,1.3862943611198906
19575,Farpoint,2017-05-16,Adventure|Shooter,70.3233138512234,11,69.4,5,2017,3373,1,single,1,False,2.4849066497880004
19596,Ever Oasis,2017-06-13,Adventure|Puzzle|Role-playing (RPG),57.79947511910326,16,80.5,10,2017,3345,1,single,1,False,2.833213344056216
19604,Fictorum,2017-08-09,Adventure|Indie|Role-playing (RPG),50.0,4,62.0,1,2017,3288,1,single,1,False,1.6094379124341003
19698,Albion Online,2017-07-17,Role-playing (RPG),77.93006718610263,142,87.5,4,2017,3311,3,multi,6,True,4.962844630259907
19729,Mr. Shifty,2017-04-13,Adventure|Fighting|Hack and slash/Beat 'em up|Indie|Puzzle|Shooter,88.82072397458302,20,63.875,8,2017,3406,4,multi,6,True,3.044522437723423
20329,Figment,2017-09-22,Adventure|Indie|Music|Platform|Puzzle,79.28078548001753,70,88.66666666666667,3,2017,3244,3,multi,10,True,4.2626798770413155
20330,Flinthook,2017-04-18,Adventure|Arcade|Indie|Platform|Shooter,79.75805822061828,13,80.8,5,2017,3401,5,multi,6,True,2.6390573296152584
20392,Portal Knights,2017-05-18,Adventure|Indie|Role-playing (RPG),67.98040118799163,35,73.75,4,2017,3371,3,multi,6,True,3.58351893845611
20404,Gibz,2017-04-07,Adventure|Arcade|Indie|Shooter,60.0,3,75.0,1,2017,3412,1,single,1,False,1.3862943611198906
20454,Pinstripe,2017-04-24,Adventure|Indie|Platform|Puzzle,72.41662083062299,41,81.66666666666667,3,2017,3395,3,multi,7,True,3.7376696182833684
20459,Rick and Morty: Virtual Rick-ality,2017-04-20,Adventure|Indie|Puzzle|Simulator,62.25549569603792,16,71.83333333333333,6,2017,3399,3,multi,4,True,2.833213344056216
20909,The First Tree,2017-09-14,Adventure|Indie|Platform|Simulator,68.26240147164764,59,,0,2017,3252,2,multi,8,True,4.0943445622221
21062,Sonic Mania,2017-08-15,Adventure|Platform,83.36879539811096,321,85.4375,16,2017,3282,4,multi,4,False,5.7745515455444085
21063,Sonic Forces,2017-11-07,Platform,55.45963203827895,107,56.72727272727273,11,2017,3198,4,multi,4,False,4.68213122712422
21429,Vikings: Wolves of Midgard,2017-03-24,Hack and slash/Beat 'em up|Role-playing (RPG),67.85242746042036,20,67.5,4,2017,3426,5,multi,5,False,3.044522437723423
21604,Old Man's Journey,2017-05-16,Adventure|Indie|Puzzle,68.32775423480118,96,,0,2017,3373,4,multi,7,True,4.574710978503383
21646,Rivals of Aether,2017-03-28,Fighting|Indie|Platform,73.01551796090286,40,,0,2017,3422,2,multi,3,True,3.713572066704308
21793,Home Sweet Home,2017-09-26,Adventure|Indie|Puzzle|Simulator,70.0093555864666,11,50.0,2,2017,3240,1,single,4,True,2.4849066497880004
22023,Majotori,2017-03-28,Adventure|Arcade|Indie|Puzzle|Quiz/Trivia,72.7625949398639,17,,0,2017,3422,5,multi,8,True,2.8903717578961645
22039,The Signal From Tölva,2017-04-10,Adventure|Indie|Shooter,60.0,2,72.5,2,2017,3409,3,multi,3,False,1.0986122886681098
22399,Sudden Strike 4,2017-08-11,Real Time Strategy (RTS)|Simulator|Strategy,65.10425328274135,5,66.25,4,2017,3286,4,multi,4,False,1.791759469228055
22783,The Sexy Brutale,2017-04-11,Adventure|Indie|Puzzle,75.75367977656214,54,80.0,12,2017,3408,3,multi,4,True,4.007333185232471
